2023-11-23 03:52:38	[Main thread]	INFO	readr	cli_block	 [36m──[39m [1mColumn specification[22m [36m────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────[39m cols(   checkLevel = [31mcol_character()[39m,   checkName = [31mcol_character()[39m,   checkDescription = [31mcol_character()[39m,   kahnContext = [31mcol_character()[39m,   kahnCategory = [31mcol_character()[39m,   kahnSubcategory = [31mcol_character()[39m,   sqlFile = [31mcol_character()[39m,   evaluationFilter = [31mcol_character()[39m ) 
2023-11-23 03:52:38	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	CDM Tables skipped: CONCEPT, VOCABULARY, CONCEPT_ANCESTOR, CONCEPT_RELATIONSHIP, CONCEPT_CLASS, CONCEPT_SYNONYM, RELATIONSHIP, DOMAIN
2023-11-23 03:52:38	[Main thread]	INFO	DatabaseConnector	connectBigQuery	Connecting using BigQuery driver
2023-11-23 03:52:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmTable
2023-11-23 03:53:32	[Main thread]	ERROR	DataQualityDashboard	3	[Level: TABLE] [Check: cdmTable] [CDM Table: EPISODE] [CDM Field: NA] Error executing SQL: java.sql.SQLException: [Simba][BigQueryJDBCDriver](100032) Error executing query job. Message: Not found: Table booming-edge-403620:mimiciv_full_current_cdm.episode was not found in location US An error report has been created at  /Users/shubov/Projects/THESIS/mimic_eval/errors/TABLE_cdmTable_EPISODE_NA.txt
2023-11-23 03:53:32	[Main thread]	ERROR	DataQualityDashboard	3	[Level: TABLE] [Check: cdmTable] [CDM Table: EPISODE_EVENT] [CDM Field: NA] Error executing SQL: java.sql.SQLException: [Simba][BigQueryJDBCDriver](100032) Error executing query job. Message: Not found: Table booming-edge-403620:mimiciv_full_current_cdm.episode_event was not found in location US An error report has been created at  /Users/shubov/Projects/THESIS/mimic_eval/errors/TABLE_cdmTable_EPISODE_EVENT_NA.txt
2023-11-23 03:53:46	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measurePersonCompleteness
2023-11-23 03:54:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureConditionEraCompleteness
2023-11-23 03:54:59	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmField
2023-11-23 03:55:24	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: CDM_SOURCE] [CDM Field: CDM_VERSION_CONCEPT_ID] Error executing SQL: java.sql.SQLException: [Simba][BigQueryJDBCDriver](100032) Error executing query job. Message: Unrecognized name: cdm_version_concept_id at [11:20] An error report has been created at  /Users/shubov/Projects/THESIS/mimic_eval/errors/FIELD_cdmField_CDM_SOURCE_CDM_VERSION_CONCEPT_ID.txt
2023-11-23 03:58:07	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: DEVICE_EXPOSURE] [CDM Field: PRODUCTION_ID] Error executing SQL: java.sql.SQLException: [Simba][BigQueryJDBCDriver](100032) Error executing query job. Message: Unrecognized name: production_id at [11:20] An error report has been created at  /Users/shubov/Projects/THESIS/mimic_eval/errors/FIELD_cdmField_DEVICE_EXPOSURE_PRODUCTION_ID.txt
2023-11-23 03:58:14	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: DEVICE_EXPOSURE] [CDM Field: UNIT_CONCEPT_ID] Error executing SQL: java.sql.SQLException: [Simba][BigQueryJDBCDriver](100032) Error executing query job. Message: Unrecognized name: unit_concept_id; Did you mean device_concept_id? at [11:20] An error report has been created at  /Users/shubov/Projects/THESIS/mimic_eval/errors/FIELD_cdmField_DEVICE_EXPOSURE_UNIT_CONCEPT_ID.txt
2023-11-23 03:58:14	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmField] [CDM Table: DEVICE_EXPOSURE] [CDM Field: UNIT_SOURCE_CONCEPT_ID] Error executing SQL: java.sql.SQLException: [Simba][BigQueryJDBCDriver](100032) Error executing query job. Message: Unrecognized name: unit_source_concept_id; Did you mean device_source_concept_id? at [11:20] An error report has been created at  /Users/shubov/Projects/THESIS/mimic_eval/errors/FIELD_cdmField_DEVICE_EXPOSURE_UNIT_SOURCE_CONCEPT_ID.txt
